X,Y,osm_id,code,fclass,name,Diff,icon_url
-5.6871532,9.586377,"3947353931","3300",muslim,,Mosquee,./1.png
-6.413934,9.890681,"3948673903","3300",muslim,,Mosquee,./1.png
-6.4103456,9.8960399,"3949118532","3300",muslim,,Mosquee,./1.png
-5.1726215,9.0640187,"3958625488","3300",muslim,Mosquée de Diogaha,Mosquee,./1.png
-5.1657443,9.0709053,"3958625492","3100",christian,,Eglise,./0.png
-5.165916,9.066233,"3958625493","3102",christian_catholic,,Eglise,./0.png
-5.1629656,9.0728714,"3958779071","3100",christian,,Eglise,./0.png
-5.1666992,9.0680032,"3958779082","3300",muslim,Mosquée de Kafiné,Mosquee,./1.png
-3.9706143,5.2953575,"3995475530","3300",muslim,,Mosquee,./1.png
-4.0120519,5.376396,"3995668389","3300",muslim,Mosquée du Pailler,Mosquee,./1.png
-3.3034515,5.285053,"3997329590","3100",christian,Paroisse Saint Louis d'Adiaké,Eglise,./0.png
-4.0741072,5.3426846,"4002514252","3100",christian,Église Saint-André,Eglise,./0.png
-3.9647396,5.371986,"4003469082","3100",christian,Résidence des Freres du Sacre-Ceur,Eglise,./0.png
-4.0392623,5.3573396,"4037558929","3102",christian_catholic,Sanctuaire Marial,Eglise,./0.png
-3.9778526,5.3018102,"4039257765","3103",christian_evangelical,Église évangeique la caravane du salut,Eglise,./0.png
-3.9798114,5.3027038,"4040244905","3100",christian,Bethanie Israel,Eglise,./0.png
-3.9832334,5.3046325,"4040244912","3103",christian_evangelical,Église eveangelique le palais des rois,Eglise,./0.png
-6.5905016,5.3047884,"4049963140","3100",christian,Temple adventiste,Eglise,./0.png
-5.2763722,6.8251292,"4131563103","3102",christian_catholic,Église Vases d'Honneur Yamousssoukro,Eglise,./0.png
-5.6259292,9.4761994,"4136285431","3300",muslim,,Mosquee,./1.png
